Learning Rate: 0.01, Max Iterations: 100, Num Hidden Layers: 2,,,,,,,
Iteration,Set 1 Testing Logistic Accuracy,Set 1 Testing TanH Accuracy,Set 1 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 1 Training Logistic Accuracy,Set 1 Training TanH Accuracy,set 1 Training ReLu Accuracy
6,0.6875,0.6875,0.6875,0.860449728,0.714270022,0.927057554,0.704247104,0.704247104,0.704247104
7,0.6875,0.6875,0.6875,0.84985724,0.702427747,0.896215476,0.704247104,0.703474903,0.704247104
8,0.6875,0.68287037,0.6875,0.846294349,0.68987636,0.871830087,0.704247104,0.701930502,0.704247104
9,0.6875,0.694444444,0.6875,0.844087634,0.680709953,0.857148512,0.704247104,0.72972973,0.704247104
10,0.6875,0.703703704,0.6875,0.842389731,0.673485533,0.849776591,0.704247104,0.744401544,0.704247104
11,0.6875,0.710648148,0.6875,0.840757406,0.664661418,0.843368714,0.704247104,0.745945946,0.704247104
12,0.6875,0.724537037,0.6875,0.839942526,0.658231769,0.841370753,0.704247104,0.756756757,0.704247104
13,0.6875,0.717592593,0.6875,0.839353941,0.651333374,0.83952275,0.704247104,0.752123552,0.704247104
14,0.6875,0.740740741,0.6875,0.839170905,0.646665817,0.836550467,0.704247104,0.764478764,0.704247104
15,0.6875,0.736111111,0.6875,0.838959952,0.641597423,0.83453493,0.704247104,0.762934363,0.704247104
16,0.6875,0.743055556,0.6875,0.838746491,0.636709098,0.832450155,0.704247104,0.764478764,0.704247104
17,0.6875,0.736111111,0.6875,0.83860878,0.632943492,0.830880225,0.704247104,0.766795367,0.704247104
18,0.6875,0.740740741,0.6875,0.838532343,0.629619665,0.829559678,0.704247104,0.765250965,0.704247104
19,0.6875,0.743055556,0.6875,0.838396423,0.623854526,0.828240241,0.704247104,0.766795367,0.704247104
20,0.6875,0.743055556,0.6875,0.838313566,0.620629228,0.827278257,0.704247104,0.767567568,0.704247104
21,0.6875,0.74537037,0.6875,0.838214037,0.616624285,0.826189765,0.704247104,0.769111969,0.704247104
22,0.6875,0.74537037,0.6875,0.838141097,0.613083027,0.824619949,0.704247104,0.766795367,0.704247104
23,0.6875,0.75,0.6875,0.838035452,0.611863258,0.823637259,0.704247104,0.767567568,0.704247104
24,0.6875,0.743055556,0.6875,0.837953164,0.606690297,0.822560946,0.704247104,0.76988417,0.704247104
25,0.6875,0.75,0.6875,0.838230908,0.603437008,0.822089346,0.704247104,0.768339768,0.704247104
26,0.6875,0.75,0.6875,0.837894619,0.601960148,0.820900143,0.704247104,0.76988417,0.704247104
27,0.6875,0.752314815,0.6875,0.837701024,0.600447827,0.820237009,0.704247104,0.769111969,0.704247104
28,0.6875,0.75,0.6875,0.837695532,0.596509442,0.819093515,0.704247104,0.76988417,0.704247104
29,0.6875,0.75,0.6875,0.837656237,0.596676911,0.818565911,0.704247104,0.771428571,0.704247104
30,0.6875,0.756944444,0.6875,0.837537417,0.592898017,0.818096164,0.704247104,0.770656371,0.704247104
31,0.6875,0.759259259,0.6875,0.837554725,0.588044096,0.817919633,0.704247104,0.769111969,0.704247104
32,0.6875,0.759259259,0.6875,0.837400103,0.58642873,0.81665291,0.704247104,0.770656371,0.704247104
33,0.6875,0.756944444,0.6875,0.837475706,0.582835778,0.81592201,0.704247104,0.772200772,0.704247104
34,0.6875,0.763888889,0.6875,0.837522404,0.580038031,0.815688245,0.704247104,0.771428571,0.704247104
35,0.6875,0.752314815,0.6875,0.837395799,0.577836532,0.814792615,0.704247104,0.773745174,0.704247104
36,0.6875,0.752314815,0.6875,0.83751114,0.576783307,0.813327288,0.704247104,0.774517375,0.704247104
37,0.6875,0.759259259,0.6875,0.83727333,0.576552964,0.813475382,0.704247104,0.773745174,0.704247104
38,0.6875,0.763888889,0.6875,0.837262112,0.570495535,0.812770172,0.704247104,0.774517375,0.704247104
39,0.6875,0.759259259,0.6875,0.837286578,0.567807192,0.812166382,0.704247104,0.776061776,0.704247104
40,0.6875,0.763888889,0.6875,0.837351886,0.566322247,0.811323022,0.704247104,0.774517375,0.704247104
41,0.6875,0.766203704,0.6875,0.83714409,0.566052995,0.810364295,0.704247104,0.773745174,0.704247104
42,0.6875,0.759259259,0.6875,0.837216174,0.56200581,0.809826658,0.704247104,0.776061776,0.704247104
43,0.6875,0.768518519,0.6875,0.837152742,0.559306107,0.808567932,0.704247104,0.774517375,0.704247104
44,0.6875,0.766203704,0.6875,0.837137792,0.556933024,0.808592439,0.704247104,0.774517375,0.704247104
45,0.6875,0.768518519,0.6875,0.836977266,0.555258762,0.806918971,0.704247104,0.774517375,0.704247104
46,0.6875,0.763888889,0.6875,0.837125778,0.5537363,0.806346663,0.704247104,0.776833977,0.704247104
47,0.6875,0.768518519,0.6875,0.836913016,0.552185547,0.805203604,0.704247104,0.774517375,0.704247104
48,0.6875,0.766203704,0.6875,0.83695006,0.549486441,0.805130885,0.704247104,0.776833977,0.704247104
49,0.6875,0.766203704,0.6875,0.836917082,0.54938898,0.802478111,0.704247104,0.777606178,0.704247104
50,0.6875,0.775462963,0.6875,0.836829725,0.546123045,0.801612609,0.704247104,0.773745174,0.704247104
51,0.6875,0.773148148,0.6875,0.83687678,0.548116237,0.800413188,0.704247104,0.777606178,0.704247104
52,0.6875,0.770833333,0.6875,0.836807815,0.542632745,0.799648041,0.704247104,0.774517375,0.704247104
53,0.6875,0.770833333,0.6875,0.836804144,0.539819827,0.797065909,0.704247104,0.775289575,0.704247104
54,0.6875,0.768518519,0.6875,0.836734093,0.538214486,0.795827288,0.704247104,0.778378378,0.696525097
55,0.6875,0.770833333,0.6875,0.837085772,0.538235964,0.794771552,0.704247104,0.775289575,0.704247104
